Username,Comment
@tapeshkumar8892,Its ultimate comedy 😂
@bibhuswaran9114,Thank you ravi bhai...mera pett dukhne lag gaya yaar haste haste
@india_alliance24,😂😂😂
@syedkashif-t7q,Man head's of to you with out abuse language you done great job content very strong &very funny timing superb content is very nice punch line excellent you're second one I like it first one abisheik opumaniua
@somanshusingh7209,7:29  I did full screen after this 😂😂🤣🤣
@riyasfacts9273,Mai ye second time dekh rhi hu .... 😄
@anupammallick1567,Super sir
@prashantvarma8813,Acha content banete ho
@robiulawal4197,"Loughing gas dala huwa Hain kya?? inta hansi😮.
Mujse to nahi aa raha hain😢"
@9966052222,absolutely awesome
@sandeepmahi1065,Aapko _Khushi_ hogi aapne shadi kar li😂😂❓
@aruntiwari7055,Lazy anthem of the century
@ra9991019428,Second time dekhi hai aaj phir se mazaa aha gaya 😅
@अखण्डितअघोरी,Arijit from meesho😂
@Rasta-wh6xe,Bhai 😂 bhai 😂
@rahultiger1994,Aisi video banane ke liye
@vinodmourya1660,"Bro 
Mai bahut hassa hu aaj 
Realy good yar"
@alpha_wolf_x,awesome
@shallu042,bhut achi bhas ka wait krte raho 😅😅😅
@KumarShantanu-i3q,Exlent 😂 super bro 😅
@roshanpsunar9706,16:56 😂 Amazing 😂😂
@wiquarahmad710,Thank you 😁
@Aditya_yadav.343,5.14😂😂😂
@tutusingh2290,Achi video thi
@saifrehman6759,Bhai.. waiting for your next videos
@dilkumarbudha2756,😂😂😂😂😂
@mdziya1873,Ravi bhai baar baar dekhta hu aapka ye wala video kasam se har baar lagta he ki naya video dekh raha hu kabhi bhi bor nahi hota yr aapka bolne ka andaaz hi nirala he
@mohitoshroy1386,Gold standard in comedy.
@kartikfunnymasti9386,Faaaaaddddd comedy maja hi aa gya 😅😅
@kartikfunnymasti9386,Osm bhaiya ji hasi hi nhi ruk rahi
@AdityaSingh-b3l,Love you brother ❤
@MaltSingle,"Where has he gone, no new vids, wat a guy. Good stuff"
@brijmohansinghrawat11,Excellent
@anuradhasharma9759,Great comedy
@bhuvneshgangwar8950,"19:08 kaha reh gayi bhoori😂😂😂😂 
Ohh God"
@bhuvneshgangwar8950,Pehli baar aapka video dekha hai bhai you are the best.😂❤
@bhuvneshgangwar8950,Bhai  you are the best condition😂❤
@Nursespoint,Best comedian 😂❤
@Rajveersingh0410,❤
@ShivamDubey-k6r,"super comedy, cant wait to comments untill my i complete this video...."
@moumitadas6563,My tummy is aching after this dosage of laughter... 😂
@mrityunjaymishra5765,I think that he did not forget his negative conversation about this 😂😂
@sulayaroy,Crazy 😂
@biologywithneelam3144,Awesome
@anilthakur9978,"Ravi bhaiya main apka bhut bada fan hu....

Meri apse request hai 
Mujhe apse milna hai 
Apke sath chai Pini hai bath kar.
Photo click karni hai 

Apse bhut bate krni hai 

Ravi bhaiya please ek bar Milne ana

Main chandigarh me rhta hu
Railway station pr... please bhaiya jarur milna"
@jayshreeramharharmahadev1108,Bhai shows bohut korte ho plz purana wala jaldi jaldi daldo
@harshratnakar7124,😂😂😂😂
@DK_rana_k_video,Gaal dukh raha hai bhai comedy dekh ke
@RajeevSingh-e6d,Best comedy sir 💙💙
@TA_HULK,lafuing sound low rakho plz
@travellertutul5061,Arijit singh Kab se stand up comedy pe aa geya
@AshuSharma-cg2mj,Mai maal fukk hi video dekh rha hun 🤣🤣🤣🤣🤣🤣🤣😂😂😂😆
@altamashshaikh1864,Brother I watched it in a 3 4 times with pick level of high laughing
@shubhamdhanuk9389,Nice video my big brother ❤❤❤
@anychoudhary8647,Bda mja aata h esi bina tang punch ki bate sun ke 😂😂😂
@rafeeq-roshan245,3rd time watching..❤
@sujatatambe183,Amazing 👏
@rojaishitwal7641,Ravi bhaiya nai vidoe lao
@kriscresta8934,"I watched this 15 times,still feel likes a new 😊"
@abhimanyudas9056,Awesome...
@quickquizz1,Ravi gupta Shining star of Standup
@pritammishra9850,Top class
@Thankyou496,"First time kisi si video ko like krne ka man kr raha h 😅,such  a lovely & real standup comedy, carryon bro, all the best. ❤"
@amitarya-iy1ok,I came here for arijit😅
@RameshKumar-iy4tu,❤❤❤❤❤❤❤
@Chaibreak09,7:21 I thought my mobile had broken in upper side but it was editing do anyone observed this
@UtkarshTiwari-gs5ri,Very nice dear sir
@ThakurShab-p7e,aapka to level bahut high he apko to comedy king hona chaiye bhut Mja aya
@ThakurShab-p7e,bahut Jada achhi comedy ki me to apka fan Ho gya lajabab shandar talent
@EthelBowe-p9j,Pfannerstill Island
@rajinikant4438,Bolte hai nahao 😂😂😂
@Crownproperty360,😂😂❤❤
@RupeshKumar_ravirup,But on the positive side his ex is not blocking him 😂
@meenumakhija1966,Too good 👏🏻👏🏻👏🏻
@lifescribe147,
@Shabi586,Ravi Bhai 1st time dekha hu Stand up comedy Aur mai Hass Hass ke Pagal ho gaya thank you bro❤️😂
@kishorpasha703,His laughter is so great😅
@hinduboy.,I watched more than 10 times
@KhetoholiLuket-ob2vp,Soooo good
@9905737309,You are simply amazing!!! We relate to you a lot!!! Kudos to you!!!
@rahuljinareshrathod3490,Badiya hai sir 😂😂
@dasagrivagaming,All time my favourite comedian...❤😅
@achikwood-vikrammarak9337,I didn't know Arijit Singh can also do comedy 😮
@sandipkumar3277,chalo koi to aaya badiya
@aakash9912,maja agua yaar bhai
@arunahirwar1651,Arijit Singh sir comedy kb se krne lge 🤔🤔🤔🤔
@arunahirwar1651,Arijit Singh lite
@JaldiYahaSeHaato,Other comedians should learn from this man how to do stand-up without a single abuse ❤
@tajuddinahmadserazi5191,"Bhai business great ho, bilkul hat ke hai apka stand up, Thank you for making this 👌"
@Amitagrawal-i2w,I love u ❤😂
@prisonmike7,didn't laugh for a second tbh
@soumyaranjanjena369,👏👏👏👏👏
@itsmenarayan,"Thumbnail se compare karne wale 😢 
Video dekhane wale😅"
@sarojanidwivedi2045,Good 💯😊
@kiranjha7223,Great enjoying forget all worries.. Actually I was waiting eagerly after office video... Subscribed too as I saw your next video❤❤
@FarhadNadir-gw2gh,"That was real stand up comedy...no sex, vulgarity, abusive slangs and double meaning bakwas"
@adityarohan2628,HAMARA DATA KHATAM H AB YAHI DEKHNA HOGA KOI OPTION NHI H MERE PASS 😅😅😅😅😅😅
@bharattriveddi,too good 🤣🤣🤣
@BlackHoleInfinity,Bhai maja aa gaya 😂😂😂😂😂😂😂😂😂
@amishakumari9516,Seriously mujhe hasi kyu nhi aati 😢😢
@deepakdas3943,14:20 was damn true ✅💯
@vijayagjaw4607,Its too good 💯
@himanshusomani1744,solid comedy
@MarshallQuincy-w3e,Lesch Fords
@sudjmi,Awesome
@unknownsinger156,Dada main Bangladesh se dekh raha hu. You Just ❤❤❤❤❤
@dancewithme9562,Bhai gajab hi ho ......kahan se late ho content... sab fail amazinig.😅😅😅
@CissieNeil-x6w,Lopez Mark Garcia Mary Garcia Linda
@RohitVerma-zo6oi,❤❤❤
@sumitshiva6365,iphone vala alg level pr hai 😂😂
@aranyamondebnath4081,"Very good comedy , I watched several times of this comedy's clip , now full video watched."
@amitkeshari2992,Amazing😅😅
@sonuadhikari2437,❤❤😂
@JohnMosley-q3l,Cummerata Course
@amarjeetupadhyay2718,Best comedy
@mdocomo5430,"Bhai sahi bola kuch logo ne this was real stand up comdey 
Maza aa gaya bhi tum ko sunn k mere to gaaal dukhne lagge haas haas k bhai😂😂😂😂😂"
@adarshverma4974,10:28 😅😅😅
@ShubhamVerma-ze5eg,1 no bhai❤
@navjotsidhu7174,❤❤😂😂😂
@abhijitdebnath3074,Awesomely Made 🍫🔥
@anishsingh7647,"Hasi kyu nhi a rhi h , jabarjasti hasna ni chahta🙂"
@SoniyaRao-g1t,Mind fresh ho gya 😂😂😂😂😂
@redprimordialrouge9984,"Vai Bankura aa jao :P
I know not possible"
@sumitmandal3615,awesome broda... applause
@aryavratmusic,Aawaz ek no.😂😂❤
@Vlogs.anonymous_09,11:51 😂😂😂
@badalkumar-sw9nw,6:48 iphone wale joke 😂😂
@Arvind_4u,😅
@eramshafiqansari4165,He is looking like arijit singh
@AllYouNeedToKnow-lc3lg,20th September 2024 I'm watching this more than 20 times 😅and still it's soo funny 😂😂
@Sorensumant,Comedy of arijt singh
@Chetan-x9h,Mp wale like kro
